index,timestamp,left_path,right_path
10,{'ts': 1765290177.4948473},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0010_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0010_right.png
11,{'ts': 1765290188.5472753},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0011_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0011_right.png
12,{'ts': 1765290200.4389079},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0012_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0012_right.png
13,{'ts': 1765290207.8270087},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0013_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0013_right.png
14,{'ts': 1765290214.313423},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0014_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0014_right.png
15,{'ts': 1765290227.2121751},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0015_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0015_right.png
16,{'ts': 1765290234.6059732},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0016_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0016_right.png
17,{'ts': 1765290239.3287184},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0017_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0017_right.png
18,{'ts': 1765290247.6595793},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0018_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0018_right.png
19,{'ts': 1765290257.1014142},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0019_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0019_right.png
20,{'ts': 1765290260.904825},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0020_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0020_right.png
0,{'ts': 1765290518.156783},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0000_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0000_right.png
1,{'ts': 1765290521.761138},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0001_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0001_right.png
2,{'ts': 1765290527.727904},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0002_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0002_right.png
3,{'ts': 1765290538.1126733},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0003_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0003_right.png
4,{'ts': 1765290541.9663026},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0004_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0004_right.png
5,{'ts': 1765290551.700298},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0005_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0005_right.png
6,{'ts': 1765290562.375857},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0006_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0006_right.png
7,{'ts': 1765290569.4444625},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0007_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0007_right.png
8,{'ts': 1765290582.1291044},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0008_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0008_right.png
9,{'ts': 1765290591.4521494},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0009_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0009_right.png
10,{'ts': 1765290596.942813},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0010_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0010_right.png
11,{'ts': 1765290603.9534054},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0011_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0011_right.png
12,{'ts': 1765290610.6935246},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0012_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0012_right.png
13,{'ts': 1765290622.6402996},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0013_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0013_right.png
14,{'ts': 1765290653.4185636},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0014_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0014_right.png
15,{'ts': 1765290663.960333},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\left\pair_0015_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards2\right\pair_0015_right.png
